Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
AAAIF,ALTERNATIVE INVSTMENT TR,Pink Current,0.000000,,0,Fund,,
AAALF,AAREAL BANK AG AKT,Pink Current,31.990000,,0,Foreign Ordinary Shares,Germany,
AAALY,AAREAL BANK AG UNSP/ADR,Pink Current,34.650000,,0,ADRs,Germany,
AABB,ASIA BROADBAND INC,Pink Current,0.023000,-6.122400,5882568,Common Stock,USA,Nevada
AABVF,ABERDEEN INTL INC,Pink Current,0.017000,-15.000000,2800,Foreign Ordinary Shares,Canada,Ontario
AACAF,AAC TECHS HLDGS INC ORD,Pink Current,2.210400,,0,Foreign Ordinary Shares,China,
AACAY,AAC TECHS HLDGS UNSP/ADR,Pink Current,1.930000,-5.853700,1485,ADRs,China,
AACTF,AURORA SOLAR TECHNOLOGIES,Pink Current,0.011100,0.000000,30423,Foreign Ordinary Shares,Canada,British Columbia
AAEEF,ALTAIR RES INC ORD,Pink Current,0.016200,,0,Foreign Ordinary Shares,,
AAFRF,AIRTEL AFRICA PLC,Pink Current,1.355000,-2.867400,3114,Foreign Ordinary Shares,United Kingdom,England
AAGC,ALL AMERICAN GOLD CORP,Pink Current,0.000400,14.285700,38999997,Common Stock,USA,New York
AAGFF,AFTERMATH SILVER LTD ORD,OTCQX International,0.137500,-12.028200,58832,Foreign Ordinary Shares,Canada,British Columbia
AAGH,AMERICA GREAT HEALTH,Pink Current,0.005600,-1.754400,180,Common Stock,USA,California
AAGIY,AIA GROUP LTD S/ADR,Pink Current,35.060000,-1.984900,418159,ADRs,Hong Kong,
AAGRY,ASTRA AGRO LESTR UNSP/ADR,Pink Limited,2.670000,,0,ADRs,Indonesia,
AAHIF,ASAHI CO LTD ORD,Pink Limited,12.679050,,0,Foreign Ordinary Shares,Japan,
AAIGF,AIA GROUP LTD ORD,Pink Current,8.700000,0.346000,67591,Foreign Ordinary Shares,Hong Kong,
AAIRF,AMERICAN AIRES INC,Pink Current,0.015000,0.000000,12000,Foreign Ordinary Shares,Canada,Ontario
AALBF,AALBERTS INDUS NV ORD,Pink Limited,38.590000,,0,Foreign Ordinary Shares,,
AAMMF,ALMADEX MINERALS LTD,Pink Current,0.190000,5.555600,4520,Foreign Ordinary Shares,Canada,British Columbia
AAMTF,ARMADA MERCANTILE LTD,Pink Current,0.300000,,0,Foreign Ordinary Shares,USA,California
AANNF,AROUNDTOWN SA ORD,Pink Limited,1.500000,-3.537000,5000,Foreign Ordinary Shares,,
AAPJ,AAP INC,Pink Current,0.000800,-5.882400,7728550,Common Stock,USA,Wyoming
AAPT,ALL AMERICAN PET CO INC,Pink Limited,0.000100,0.000000,537500,Common Stock,China,
AARTY,AIRTEL AFRICA PLC ADR,Pink Current,13.950000,,0,ADRs,United Kingdom,England
AASP,GLOBAL ACQUISITIONS CORP,Pink Current,0.236000,46.583900,1250,Common Stock,USA,Nevada
AASZF,ATLANTIC SAPPHIRE AS,OTCQX International,0.428650,-2.424300,3243,Foreign Ordinary Shares,USA,Florida
AATC,AUTOSCOPE TECHS CORP,OTCQX U.S.,6.025000,-0.577600,26789,Common Stock,USA,Minnesota
AATGF,ATI AIRTEST TECHS INC,Pink Current,0.010800,,0,Foreign Ordinary Shares,Canada,British Columbia
AATP,AGAPE ATP CORP,Pink Current,6.000000,,0,Common Stock,Malaysia,
AATV,ADAPTIVE AD SYSTEMS INC,Pink Current,0.270000,,0,Common Stock,USA,Washington
AAUGF,ANGOLD RES LTD,Pink Current,0.051100,,0,Foreign Ordinary Shares,Canada,British Columbia
AAUKF,ANGLO AMER PLC ORD.,OTCQX International Premier,26.047500,-0.201100,114,Foreign Ordinary Shares,United Kingdom,
AAVMY,ABN AMR BK N V UNSP/ADR,Pink Limited,14.220000,-1.215700,7821,ADRs,The Netherlands,
AAVVF,ADVANTAGE ENERGY LTD,Pink Current,6.602000,-2.768800,1785,Foreign Ordinary Shares,Canada,Alberta
AAWH,ASCEND WELLNESS HOLDNGS A,OTCQX U.S.,0.507000,-3.886300,80290,Foreign Ordinary Shares,USA,New York
AAYYY,AUSTRALIAN AGRCL UNSP/ADR,Pink Current,9.720000,,0,ADRs,Australia,Queensland
ABAKF,ABRDN ASIA-PAC INCOME FD,Pink Current,1.900000,,0,Foreign Ordinary Shares,United Kingdom,
ABANF,AUTOMATIC BANK SERVICES,Pink Limited,3.770000,,0,Foreign Ordinary Shares,,
ABAUF,A2B AUSTRALIA LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,New South Wales
ABBAF,ABRDN ASIAN INCOME FUND,Pink Current,2.200000,,0,Foreign Ordinary Shares,United Kingdom,England
ABBB,AUBURN BANCORP INC,Pink Current,9.150000,,0,Common Stock,USA,Maine
ABBNY,ABB LTD SPONS ADR,Pink Current,36.850000,-1.338700,184625,ADRs,Switzerland,
ABBRF,ABRASILVER RESOURCE CORP,OTCQX International,0.230000,-1.960800,123705,Foreign Ordinary Shares,Canada,Ontario
ABCAF,ATHABASCA MINERALS INC,Pink Current,0.083800,,0,Foreign Ordinary Shares,Canada,Alberta
ABCCF,ABC ARBITRAGE SA ORD,Pink Limited,8.380000,,0,Foreign Ordinary Shares,,
ABCFF,ABACUS MINING & EXPL ORD,Pink Current,0.044000,-2.222200,24721,Foreign Ordinary Shares,Canada,British Columbia
ABCP,AMBASE CORP,Pink Current,0.145000,3.571400,2500,Common Stock,USA,Florida
ABCZF,ABCAM PLC ORD,Pink Current,21.800000,,0,Foreign Ordinary Shares,United Kingdom,England
ABDDF,AB DYNAMICS PLC,Pink Current,33.000000,,0,Foreign Ordinary Shares,United Kingdom,
ABDXF,ABINGDON HEALTH LTD,Pink Current,0.070000,,0,Foreign Ordinary Shares,United Kingdom,
ABEPF,VISION LITHIUM INC,OTCQB,0.058500,-3.209800,13280,Foreign Ordinary Shares,Canada,Quebec
ABGSF,ABG SUNDAL COLLIER ASA,Pink Limited,0.493000,,0,Foreign Ordinary Shares,,
ABHBY,ALFEN BEHEER B V ADR,Pink Limited,28.000000,,0,ADRs,,
ABIT,ATHENA BITCOIN GLOBAL,Pink Current,0.069700,23.801100,11989,Common Stock,USA,Illinois
ABLT,AMERICAN BILTRITE INC,Pink Limited,140.000000,,0,Common Stock,USA,Massachusetts
ABLZF,ABB LTD ZUERICH,Pink Current,36.255000,-4.987200,8569,Foreign Ordinary Shares,Switzerland,
ABMBF,ABCOURT MINES INC B,Pink Current,0.028700,,0,Foreign Ordinary Shares,Canada,Quebec
ABMC,AMER BIO MEDICA CORP,Pink Limited,0.006900,-1.428600,178800,Common Stock,USA,New York
ABML,AMERICAN BATTERY TECH CO,OTCQX U.S.,0.560000,-3.365000,1086403,Common Stock,USA,Nevada
ABMRF,ABN AMRO GRP NV ORD,Pink Limited,14.781000,,0,Other Security Type,The Netherlands,
ABMT,ADVANCED BIOMEDICAL TECHS,Pink Limited,0.040000,14.285700,6000,Common Stock,USA,New York
ABNAF,ABEN MINERALS LTD,Pink Current,0.079000,,0,Foreign Ordinary Shares,Canada,British Columbia
ABOIF,ABOITIZ EQUITY VNTRS INC,Pink Limited,0.942600,,0,Foreign Ordinary Shares,Philippines,
ABQQ,AB INTL GROUP CORP NEW,Pink Current,0.000250,25.000000,40052290,Common Stock,USA,New York
ABRMF,ARBOR METALS CORP,Pink Current,2.420000,,138,Foreign Ordinary Shares,,
ABSSF,AIRBOSS OF AMERICA CORP,OTCQX International,3.530000,,500,Foreign Ordinary Shares,Canada,Ontario
ABTI,ALTEROLA BIOTECH INC,Pink Current,0.013000,,0,Common Stock,United Kingdom,England
ABTO,AB&T FINCL CORP (NC),Pink Current,0.460200,,0,Common Stock,USA,North Carolina
ABTZY,ABOITIZ EQTY VNT UNSP/ADR,Pink Limited,9.320000,,0,ADRs,Philippines,
ABXXF,ABAXX TECHNOLOGIES INC,OTCQX International,5.872000,1.241400,14781,Foreign Ordinary Shares,Canada,Ontario
ABZPF,ABOITIZ POWER CORP,Pink Limited,0.633600,,0,Foreign Ordinary Shares,Philippines,
ABZPY,ABOITIZ POWER UNSP/ADR,Pink Limited,13.570000,,0,ADRs,Philippines,
ACAN,AMERICANN INC,OTCQB,0.299900,19.960000,10458,Common Stock,USA,Colorado
ACASF,ACAST AB,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Sweden,
ACAZF,ACADIAN TIMBER CORP ORD,Pink Current,12.900000,-0.084400,1507,Foreign Ordinary Shares,Canada,New Brunswick
ACBD,ANNABIDIOL CORP,Pink Limited,1.000000,,0,Common Stock,USA,Massachusetts
